Region,ISO3Code,OfficialName
Low income,AFG,Afghanistan
Lower middle income,AGO,Angola
Upper middle income,ALB,Albania
High income,AND,Andorra
High income,ARE,United Arab Emirates
Upper middle income,ARG,Argentina
Upper middle income,ARM,Armenia
High income,ATG,Antigua and Barbuda
High income,AUS,Australia
High income,AUT,Austria
Upper middle income,AZE,Azerbaijan
Low income,BDI,Burundi
High income,BEL,Belgium
Lower middle income,BEN,Benin
Low income,BFA,Burkina Faso
Lower middle income,BGD,Bangladesh
High income,BGR,Bulgaria
High income,BHR,Bahrain
High income,BHS,Bahamas
Upper middle income,BIH,Bosnia and Herzegovina
Upper middle income,BLR,Belarus
Upper middle income,BLZ,Belize
Lower middle income,BOL,Bolivia (Plurinational State of)
Upper middle income,BRA,Brazil
High income,BRB,Barbados
High income,BRN,Brunei Darussalam
Lower middle income,BTN,Bhutan
Upper middle income,BWA,Botswana
Low income,CAF,Central African Republic
High income,CAN,Canada
High income,CHE,Switzerland
High income,CHL,Chile
Upper middle income,CHN,China
Lower middle income,CIV,Côte d'Ivoire
Lower middle income,CMR,Cameroon
Low income,COD,Democratic Republic of the Congo
Lower middle income,COG,Congo
Upper middle income,COL,Colombia
Lower middle income,COM,Comoros
Upper middle income,CPV,Cabo Verde
High income,CRI,Costa Rica
Upper middle income,CUB,Cuba
High income,CYP,Cyprus
High income,CZE,Czechia
High income,DEU,Germany
Lower middle income,DJI,Djibouti
Upper middle income,DMA,Dominica
High income,DNK,Denmark
Upper middle income,DOM,Dominican Republic
Upper middle income,DZA,Algeria
Upper middle income,ECU,Ecuador
Lower middle income,EGY,Egypt
Low income,ERI,Eritrea
High income,ESP,Spain
High income,EST,Estonia
High income,FIN,Finland
Upper middle income,FJI,Fiji
High income,FRA,France
Lower middle income,FSM,Micronesia (Federated States of)
Upper middle income,GAB,Gabon
High income,GBR,United Kingdom
Upper middle income,GEO,Georgia
Lower middle income,GHA,Ghana
Lower middle income,GIN,Guinea
Low income,GMB,Gambia
Low income,GNB,Guinea-Bissau
Upper middle income,GNQ,Equatorial Guinea
High income,GRC,Greece
Upper middle income,GRD,Grenada
Upper middle income,GTM,Guatemala
High income,GUY,Guyana
Lower middle income,HND,Honduras
High income,HRV,Croatia
Lower middle income,HTI,Haiti
High income,HUN,Hungary
Upper middle income,IDN,Indonesia
Lower middle income,IND,India
High income,IRL,Ireland
Upper middle income,IRN,Iran (Islamic Republic of)
Upper middle income,IRQ,Iraq
High income,ISL,Iceland
High income,ISR,Israel
High income,ITA,Italy
Upper middle income,JAM,Jamaica
Lower middle income,JOR,Jordan
High income,JPN,Japan
Upper middle income,KAZ,Kazakhstan
Lower middle income,KEN,Kenya
Lower middle income,KGZ,Kyrgyzstan
Lower middle income,KHM,Cambodia
Lower middle income,KIR,Kiribati
High income,KNA,Saint Kitts and Nevis
High income,KOR,Republic of Korea
High income,KWT,Kuwait
Lower middle income,LAO,Lao People's Democratic Republic
Lower middle income,LBN,Lebanon
Low income,LBR,Liberia
Upper middle income,LBY,Libya
Upper middle income,LCA,Saint Lucia
High income,LIE,Liechtenstein
Lower middle income,LKA,Sri Lanka
Lower middle income,LSO,Lesotho
High income,LTU,Lithuania
High income,LUX,Luxembourg
High income,LVA,Latvia
Lower middle income,MAR,Morocco
High income,MCO,Monaco
Upper middle income,MDA,Republic of Moldova
Low income,MDG,Madagascar
Upper middle income,MDV,Maldives
Upper middle income,MEX,Mexico
Upper middle income,MHL,Marshall Islands
Upper middle income,MKD,North Macedonia
Low income,MLI,Mali
High income,MLT,Malta
Lower middle income,MMR,Myanmar
Upper middle income,MNE,Montenegro
Upper middle income,MNG,Mongolia
Low income,MOZ,Mozambique
Lower middle income,MRT,Mauritania
Upper middle income,MUS,Mauritius
Low income,MWI,Malawi
Upper middle income,MYS,Malaysia
Lower middle income,NAM,Namibia
Low income,NER,Niger
Lower middle income,NGA,Nigeria
Lower middle income,NIC,Nicaragua
High income,NLD,Netherlands (Kingdom of the)
High income,NOR,Norway
Lower middle income,NPL,Nepal
High income,NRU,Nauru
High income,NZL,New Zealand
High income,OMN,Oman
Lower middle income,PAK,Pakistan
High income,PAN,Panama
Upper middle income,PER,Peru
Lower middle income,PHL,Philippines
High income,PLW,Palau
Lower middle income,PNG,Papua New Guinea
High income,POL,Poland
Low income,PRK,Democratic People's Republic of Korea
High income,PRT,Portugal
Upper middle income,PRY,Paraguay
Lower middle income,PSE,State of Palestine
High income,QAT,Qatar
Upper middle income,RKS,Kosovo (UNSCR 1244)
High income,ROU,Romania
High income,RUS,Russian Federation
Low income,RWA,Rwanda
High income,SAU,Saudi Arabia
Low income,SDN,Sudan
Lower middle income,SEN,Senegal
High income,SGP,Singapore
Lower middle income,SLB,Solomon Islands
Low income,SLE,Sierra Leone
Upper middle income,SLV,El Salvador
High income,SMR,San Marino
Low income,SOM,Somalia
Upper middle income,SRB,Serbia
Low income,SSD,South Sudan
Lower middle income,STP,Sao Tome and Principe
Upper middle income,SUR,Suriname
High income,SVK,Slovakia
High income,SVN,Slovenia
High income,SWE,Sweden
Lower middle income,SWZ,Eswatini
High income,SYC,Seychelles
Low income,SYR,Syrian Arab Republic
High income,TCA,Turks and Caicos Islands
Low income,TCD,Chad
Low income,TGO,Togo
Upper middle income,THA,Thailand
Lower middle income,TJK,Tajikistan
Upper middle income,TKM,Turkmenistan
Lower middle income,TLS,Timor-Leste
Upper middle income,TON,Tonga
High income,TTO,Trinidad and Tobago
Lower middle income,TUN,Tunisia
Upper middle income,TUR,Türkiye
Upper middle income,TUV,Tuvalu
Lower middle income,TZA,United Republic of Tanzania
Low income,UGA,Uganda
Upper middle income,UKR,Ukraine
High income,URY,Uruguay
High income,USA,United States
Lower middle income,UZB,Uzbekistan
Upper middle income,VCT,Saint Vincent and the Grenadines
High income,VGB,British Virgin Islands
Lower middle income,VNM,Viet Nam
Lower middle income,VUT,Vanuatu
Upper middle income,WSM,Samoa
